profile,sector,weight
conservative,Financials,0.30000000000000004
conservative,Industrials,0.2
conservative,Information Technology,0.2
conservative,Consumer Discretionary,0.1
conservative,Energy,0.1
conservative,Utilities,0.1
balanced,Consumer Discretionary,0.30000000000000004
balanced,Financials,0.2
balanced,Industrials,0.2
balanced,Information Technology,0.2
balanced,Energy,0.1
aggressive,Industrials,0.30000000000000004
aggressive,Information Technology,0.30000000000000004
aggressive,Energy,0.2
aggressive,Financials,0.1
aggressive,Utilities,0.1
